LocalServiceNoNetwork	REG_MULTI_SZ   	PLA
rpcss	REG_MULTI_SZ   	RpcSs
LocalServiceAndNoImpersonation	REG_MULTI_SZ   	SSDPSRV upnphost SCardSvr TBS QWAVE wcncsvc
DcomLaunch	REG_MULTI_SZ   	Power PlugPlay DcomLaunch
imgsvc	REG_MULTI_SZ   	StiSvc
wcssvc	REG_MULTI_SZ   	WcsPlugInService
RPCSS    REG_MULTI_SZ    RpcEptMapper RpcSs
defragsvc    REG_MULTI_SZ    defragsvc
WerSvcGroup    REG_MULTI_SZ    wersvc
LocalServiceNoNetwork    REG_MULTI_SZ    DPS PLA BFE mpssvc WwanSvc
termsvcs    REG_MULTI_SZ    TermService
swprv    REG_MULTI_SZ    swprv
LocalServicePeerNet    REG_MULTI_SZ    PNRPSvc p2pimsvc p2psvc PnrpAutoReg
NetworkServiceAndNoImpersonation    REG_MULTI_SZ    KtmRm
regsvc    REG_MULTI_SZ    RemoteRegistry
LocalServiceAndNoImpersonation	REG_MULTI_SZ   	SSDPSRV upnphost SCardSvr BthHFSrv QWAVE wcncsvc
DcomLaunch	REG_MULTI_SZ   	PlugPlay DeviceInstall DcomLaunch
NetworkServiceNetworkRestricted    REG_MULTI_SZ    PolicyAgent
sdrsvc    REG_MULTI_SZ    sdrsvc
WbioSvcGroup    REG_MULTI_SZ    WbioSrvc
imgsvc    REG_MULTI_SZ    StiSvc
wcssvc    REG_MULTI_SZ    WcsPlugInService
AxInstSVGroup    REG_MULTI_SZ    AxInstSV
secsvcs    REG_MULTI_SZ    WinDefend
bthsvcs    REG_MULTI_SZ    bthserv
PeerDist    REG_MULTI_SZ    PeerDistSvc
